phase,duration
0,11
1,3
4,10
5,3
2,10
3,3
4,10
5,3
6,11
7,3
0,10
1,3
2,11
3,3
4,10
5,3
2,11
3,3
6,10
7,3
4,10
5,3
6,10
7,3
2,12
3,3
0,10
1,3
6,10
7,3
2,19
3,3
6,10
7,3
4,10
5,3
2,10
3,3
4,10
5,3
2,10
3,3
6,10
7,3
2,12
3,3
6,11
7,3
2,18
3,3
4,10
5,3
6,10
7,3
2,10
3,3
6,10
7,3
2,11
3,3
4,10
5,3
0,10
1,3
6,10
7,3
2,10
3,3
4,11
5,3
0,10
1,3
2,11
3,3
6,10
7,3
2,15
3,3
4,10
5,3
2,13
3,3
6,10
7,3
2,10
3,3
4,10
5,3
2,18
3,3
6,11
7,3
4,10
5,3
0,11
1,3
2,10
3,3
0,10
1,3
2,15
3,3
0,10
1,3
2,12
3,3
6,10
7,3
2,10
3,3
6,12
7,3
0,10
1,3
2,10
3,3
6,10
7,3
2,15
3,3
6,10
7,3
2,11
3,3
4,10
5,3
2,10
3,3
6,11
7,3
2,12
3,3
0,10
1,3
4,15
5,3
0,10
1,3
4,10
5,3
6,11
7,3
0,10
1,3
6,10
7,3
2,10
3,3
6,11
7,3
0,10
1,3
2,13
3,3
6,10
7,3
2,10
3,3
6,10
7,3
2,11
3,3
6,10
7,3
2,12
3,3
4,10
5,3
2,10
3,3
6,10
7,3
2,10
3,3
6,10
7,3
2,12
3,3
6,10
7,3
2,11
3,3
4,10
5,3
2,12
3,3
6,10
7,3
2,11
3,3
4,10
5,3
2,11
3,3
4,10
5,3
2,11
3,3
6,11
7,3
2,10
3,3
6,10
7,3
2,10
3,3
0,12
1,3
2,10
3,3
0,10
1,3
6,10
7,3
2,10
3,3
6,10
7,3
2,10
3,3
6,10
7,3
2,24
3,3
4,10
5,3
6,10
7,3
2,10
3,3
4,10
5,3
0,10
1,3
2,10
3,3
6,10
7,3
0,10
1,3
4,10
5,3
2,12
3,3
0,10
1,3
2,10
3,3
6,12
7,3
0,10
1,3
6,10
7,3
2,14
3,3
